EmployeeNumber,Emplyee name,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber.1,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Barak Sali,41.0,Yes,Travel_Rarely,,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4.0,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6.0,4,0,5
2,Mumin Yusha,49.0,No,Travel_Frequently,279.0,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2.0,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10.0,7,1,7
4,Cordia M Knopp,37.0,Yes,Travel_Rarely,1373.0,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3.0,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0.0,0,0,0
5,Burton C Jin,33.0,No,Travel_Frequently,1392.0,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3.0,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8.0,7,3,0
7,Femi Grek,27.0,No,Travel_Rarely,591.0,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2.0,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2.0,2,2,2
8,Hugh N Chavira,32.0,No,Travel_Frequently,1005.0,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4.0,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7.0,7,3,6
10,Lucius C Moorhead,59.0,No,Travel_Rarely,1324.0,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1.0,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1.0,0,0,0
11,Deane I Keown,30.0,No,Travel_Rarely,1358.0,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3.0,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1.0,0,0,0
12,Joannie E Wolters,38.0,No,Travel_Frequently,216.0,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3.0,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9.0,7,1,8
13,Christene L Mccaleb,36.0,No,Travel_Rarely,1299.0,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3.0,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7.0,7,7,7
14,Alline V Kushner,35.0,No,Travel_Rarely,809.0,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5.0,4,0,3
15,Lala C Marquez,29.0,No,Travel_Rarely,153.0,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3.0,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9.0,5,0,8
16,Derick A Macey,31.0,No,Travel_Rarely,670.0,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3.0,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5.0,2,4,3
18,Eda O Brase,34.0,No,Travel_Rarely,1346.0,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4.0,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2.0,2,1,2
19,Willis D Weissman,28.0,Yes,Travel_Rarely,103.0,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3.0,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4.0,2,0,3
20,Mariam F Pinheiro,29.0,No,Travel_Rarely,,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1.0,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10.0,9,8,8
21,Malcom L Meister,32.0,No,Travel_Rarely,334.0,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2.0,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6.0,2,0,5
